month,ag_production_mmscf,nag_production_mmscf,total_gas_produced_mmscf,field_use_mmscf,domestic_sales_mmscf,export_sales_mmscf,total_gas_utilized_mmscf,total_gas_flared_mmscf
JANUARY,136783.6858,77222.5596,214006.2454,76482.5205,55497.1187,66494.1837,198473.8229,15005.8411
FEBRUARY,124217.6575,78131.5135,202349.171,67144.8334,53019.6563,65825.2035,185989.6933,15717.3279
MARCH,137068.7667,90513.742,227582.5087,75813.9786,53378.9424,81376.165,210569.086,16306.1684
APRIL,110258.0951,81741.2091,191999.3042,54157.2933,54708.2225,68919.8517,177785.3676,13563.1719
MAY,128173.221,85154.8675,213328.0886,70114.4932,53168.0764,75124.8446,198407.4142,14266.1776
JUNE,128086.002,72728.8907,200814.8927,68483.8038,45959.6321,71158.6964,185602.1323,14595.9731
JULY,128708.0383,78855.672,207563.7103,68257.6804,53735.6048,71167.659,193160.9442,13826.8565
AUGUST,125969.2603,75225.0379,201194.2983,68451.5876,52212.8457,64602.4092,185266.8425,15363.5023
SEPTEMBER,128895.4008,88829.8642,217725.265,70399.8827,56477.3625,74894.2719,201771.5172,15577.0324
OCTOBER,126701.0786,92772.9912,219474.0699,69194.9282,58777.2445,75851.6371,203823.8099,15270.0688
NOVEMBER,114990.0385,81444.1645,196434.203,59749.1567,59926.183,60132.0353,179807.375,16272.9217
DECEMBER,116918.6996,82091.0323,199009.7319,55741.6654,53068.7026,72207.6034,181017.9715,17760.8892
